X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
147.149816079768385,-38.050206087094963,44796,44570,55218,BENGWORDEN RD E BD 2.1KM E OF HUGHES RD @ 13.3KM FROM SALE,MIDBLOCK,All Moves,BENGWORDEN RD 2.1KM E OF HUGHES RD @ 13.3KM FROM SALE,5613,BENGWORDEN ROAD,BENGWORDEN ROAD,APARX,Classification,Greater than 10 Years,0,0,0,0,0
141.924763258665223,-37.035698895374409,44797,44169,40917,NATIMUK-HAMILTON RD N BD 200M N OF RICHS AND MILLERS RD @ 35.4KM FROM NATIMUK,MIDBLOCK,All Moves,NATIMUK-HAMILTON RD 200M N OF RICHS AND MILLERS RD @ 35.4KM FROM NATIMUK,5140,NATIMUK-HAMILTON ROAD,NATIMUK-HAMILTON ROAD,APARX,Classification,Greater than 10 Years,19,1997,70,10,0.25
145.172324097817977,-36.752109949500301,44798,44071,45367,KIRWANS BRIDGE-LONGWOOD RD W BD 500M E OF GOULBURN VALLEY HWY,MIDBLOCK,All Moves,KIRWANS BRIDGE-LONGWOOD RD 500M E OF GOULBURN VALLEY HWY,9999,Missing Data,KIRWANS BRIDGE ROAD,APARX,Classification,Greater than 10 Years,20,1996,40,0,0.11
145.808129794568544,-38.423993687581309,44799,44463,52146,SOUTH GIPPSLAND HWY E BD 600M W OF SANDERS STREET(KORUMBURRA) @114.4KM FROM MELB,MIDBLOCK,All Moves,SOUTH GIPPSLAND HWY 600M W OF SANDERS STREET(KORUMBURRA) @114.4KM FROM MELB,2580,SOUTH GIPPSLAND HIGHWAY,SOUTH GIPPSLAND HIGHWAY,APARX,Classification,Greater than 10 Years,21,1995,1500,230,0.15
143.97462067269467,-36.400615098120916,44800,44962,40304,LODDON VALLEY HWY N BD 400M N OF GLADMAN ST @ 51.5KM FROM BENDIGO,MIDBLOCK,All Moves,LODDON VALLEY HWY 400M N OF GLADMAN ST @ 51.5KM FROM BENDIGO,2630,LODDON VALLEY HIGHWAY,LODDON VALLEY HIGHWAY,APARX,Classification,Between 2 and 5 Years,3,2013,810,190,0.23
147.438541148664456,-37.805882787546139,44801,44571,55213,LINDENOW RD S BD 100M SE OF HOYT RD @ 9.2KM FROM PRINCES HIGHWAY EAST,MIDBLOCK,All Moves,LINDENOW RD 100M SE OF HOYT RD @ 9.2KM FROM PRINCES HIGHWAY EAST,5560,LINDENOW ROAD,LINDENOW-GLENALADALE ROAD,APARX,Classification,Greater than 10 Years,20,1996,260,20,0.1
142.504109072811929,-36.951280731618581,44802,44866,45377,ROSES GAP RD E BD SW OF ROSES GAP END OF RD SEAL,MIDBLOCK,All Moves,ROSES GAP RD SW OF ROSES GAP END OF RD SEAL,9999,Missing Data,ROSES GAP ROAD,APARX,Classification,Greater than 10 Years,24,1992,10,0,0.06
146.15847849435562,-36.828256302972513,44803,44170,41261,TATONG-TOLMIE RD E BD 2.1KM E OF JONES RD,MIDBLOCK,All Moves,TATONG-TOLMIE RD 2.1KM E OF JONES RD,3181,TATONG-TOLMIE ROAD,TATONG-TOLMIE ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,0,0,0.17
145.153876602458922,-36.773744778621307,44804,44072,47591,LOBBS LANE(NAGAMBIE) E BD 400M WEST GOULBURN VALLEY HWY @ 0.4KM FROM G.V.HWY,MIDBLOCK,All Moves,LOBBS LANE(NAGAMBIE) 400M WEST GOULBURN VALLEY HWY @ 0.4KM FROM G.V.HWY,9999,Missing Data,LOBBS LANE,APARX,Classification,Greater than 10 Years,0,0,0,0,0
145.832206325616625,-38.091389784495483,44805,44464,43873,OLD SALE RD W BD 300M W OF MAIN NEERIM RD @ 1.8KM FROM ROBIN HOOD,MIDBLOCK,All Moves,OLD SALE RD 300M W OF MAIN NEERIM RD @ 1.8KM FROM ROBIN HOOD,5533,OLD SALE ROAD,PRINCES WAY,APARX,Classification,Greater than 10 Years,21,1995,460,50,0.11
143.974475683080016,-36.41028469000203,44806,44963,48285,SERVICE RD N BD 40M N OF HUNTER STREET-SERPENTINE,MIDBLOCK,Service Carriageway,SERVICE RD 40M N OF HUNTER STREET-SERPENTINE,2630,LODDON VALLEY HIGHWAY,PEPPERCORN WAY,APARX,Classification,Greater than 10 Years,23,1993,50,0,0.07
146.905435805424389,-37.965627757349495,44807,44572,42984,TRARALGON-MAFFRA RD E BD 400M W OF KINGSCOTT LANE @ 7.6KM FROM MAFFRA,MIDBLOCK,All Moves,TRARALGON-MAFFRA RD 400M W OF KINGSCOTT LANE @ 7.6KM FROM MAFFRA,5543,TRARALGON-MAFFRA ROAD,TRARALGON-MAFFRA ROAD,APARX,Classification,Greater than 10 Years,21,1995,990,210,0.22
144.537961795608481,-37.405633501971067,44808,44867,45308,CALDER HWY S BD 400M S OF CANNING PARK RD @ 63.6KM POST,MIDBLOCK,All Moves,CALDER HWY 400M S OF CANNING PARK RD @ 63.6KM FROM MELBOURNE,5228,MACEDON-WOODEND ROAD,BLACK FOREST DRIVE,APARX,Classification,Greater than 10 Years,16,2000,5700,840,0.15
142.225739797596333,-36.373458002560049,44809,44171,43821,HORSHAM-KALKEE RD (BLUE RIBBON RD) S BD 600M S OF WALLUP HALL RD @ 37.4KM FROM H,MIDBLOCK,All Moves,HORSHAM-KALKEE RD (BLUE RIBBON RD) 600M S OF WALLUP HALL RD @ 37.4KM FROM H,5273,HORSHAM-KALKEE ROAD,BLUE RIBBON ROAD,APARX,Classification,Between 5 and 10 Years,10,2006,60,0,0.08
145.136030171659684,-38.109067280106331,44810,44073,45892,SEAFORD RD SW of WELLS RD,INTERSECTION,All Moves,SEAFORD RD & WELLS RD,5156,SEAFORD ROAD,SEAFORD ROAD,TMVMT,Manual,Greater than 10 Years,16,2000,9300,0,0
146.377657294860967,-36.369553712710236,44811,44465,41005,OVENS HWY W BD 400M EAST HUME FWY,MIDBLOCK,All Moves,OVENS HWY 400M EAST HUME FWY,7376,4005B 2550R,GREAT ALPINE-HUME IN RAMP ON,APARX,Classification,Greater than 10 Years,23,1993,1100,140,0.13
